City,Temperature (F),Humidity (%),Cloudiness,Wind Speed (mph),Lat,Long
Kupang,77,100,20,4.7,-10.17,123.58
Kamphaeng Phet,91,40,49,7.47,16.48,99.52
Camacha,66.2,63,40,19.46,33.08,-16.33
Tlamacazapa,73,53,75,2.24,18.52,-99.5
Beïnamar,100.71,6,51,5.97,8.67,15.38
Hobyo,82.35,72,56,12.82,5.35,48.53
Saint Anthony,28.99,73,1,5.97,45.02,-93.22
Luanda,87.8,62,40,13.87,-8.84,13.23
Mozarlândia,84.51,64,90,3.58,-14.74,-50.57
Bac Lieu,78.01,77,65,8.77,9.29,105.72
Coral Springs,81,65,40,9.17,26.27,-80.27
Dickson,41,93,90,8.05,36.08,-87.39
Mitú,92.41,52,48,1.68,1.2,-70.17
Abhā,68,63,40,11.41,18.22,42.51
San Juan,73.17,16,0,11.45,-31.54,-68.54
Fayaoué,83.79,79,100,39.1,-20.65,166.53
Namatanai,82.71,78,100,9.6,-3.67,152.43
Chapada dos Guimarães,87.8,55,3,9.17,-15.46,-55.75
Rāisinghnagar,67.41,44,57,9.1,29.54,73.45
Villablino,60.8,36,40,6.93,42.94,-6.32
Prince George,0,76,1,2.39,53.92,-122.75
Guadalupe y Calvo,58.59,43,100,3.87,26.1,-106.97
Ukiah,46,86,90,2.53,39.15,-123.21
El Alto,62.6,100,86,13.87,-4.27,-81.21
Monte Alegre de Sergipe,93.69,33,47,10.33,-10.03,-37.56
Kyra,24.21,91,100,5.01,49.58,111.98
Seoul,37.4,55,1,2.24,37.57,126.98
Prince Albert,6.8,84,90,4.7,53.2,-105.77
Aklavik,10.4,72,90,11.41,68.22,-135.01
Curillo,74.25,97,100,0.58,1.03,-75.92
Shenjiamen,54.99,71,91,13.89,29.96,122.3
Makat,50.49,37,100,8.41,47.65,53.35
Tignère,96.39,9,74,8.25,7.37,12.65
Minudasht,62.6,67,75,4.7,37.23,55.37
Kachīry,35.71,92,100,14.05,53.07,76.1
Wanning,73.17,89,100,8.63,18.8,110.4
Worland,23,73,90,8.05,44.02,-107.96
Mossamedes,84.2,74,40,11.41,-15.2,12.15
Letlhakane,88.47,29,59,4.63,-21.42,25.58
Niquelândia,81.09,68,85,5.32,-14.47,-48.46
Hopkinsville,39.99,100,90,11.41,36.87,-87.49
Kutum,86.85,10,47,7.43,14.2,24.67
Rocha,70.81,53,97,9.53,-34.48,-54.33
Yei,72.45,84,100,3.78,4.09,30.68
Twin Falls,41,100,90,20.8,42.56,-114.46
Manthani,85.59,30,7,4.03,18.65,79.67
Airdrie,52,76,90,18.34,55.87,-3.98
Bolivar,37,100,90,6.93,37.61,-93.41
Murgab,78.8,24,75,6.93,37.5,61.97
Prince Rupert,28.4,79,1,6.93,54.32,-130.32
Rawlins,41,60,1,16.11,41.79,-107.24
Romitan,71.6,24,90,6.93,39.93,64.38
Caucayá,75.15,93,100,3.51,-0.19,-74.78
Beyneu,55.17,55,59,11.63,45.32,55.2
Agadez,87.01,6,0,3.98,19.75,10.25
Ialibu,58.41,98,29,2.13,-6.28,143.99
Abu Dhabi,87.8,39,20,13.87,24.47,54.37
Banda Aceh,76.41,92,100,4.14,5.56,95.32
